0,系统用报警号, 
1,读取参数错误, 
2,急停报警,系统急停ESP输入(X0.5)或外接急停信号断开，可能的原因如下：\n1、系统急停开关被按下\n2、轴托板压上行程限位开关\n3、急停开关、行程限位开关或急停输入电器线路有异常
1000,任务用报警号, 
2000,解释器用报警号, 
2001,当前段为跳段, 
2002,当前段有#变量，需要等待运动同步,1.本段有未指定的#变量\n2.需要等待运动进行同步
2003,解释器报警,
2004,解释器没有开始标志,
2005,解释器词法分析队列已满，不能继续词法译码,
2006,解释器词法分析队列没有数据，不能继续语法译码,
2007,解释器的输出队列已满,
2008,mst指令执行未完成,
2009,打开文件失败,
2010,文件结束或者读取失败,
2011,参数传入为空,
2012,字符数超过设定值,
2013,没有有效值,
2014,解释器超出范围,
2015,未知错误,
2016,运行结果为空,
2017,存在非法字符,
2018,调用位置错误,
2019,由于跳段，当前段直接结束,
2020,轴名设置不正确,
2021,除数不能为零,
2022,存在不支持的操作符,
2023,实际值不存在,
2024,需要数据类型为int型,
2025,该地址的宏变量不能进行写操作,
2026,指定了非法的变量号,
2027,#后缺少=,
2028,小数点使用错误,
2029,包含不支持的G指令,
2030,包含不支持的M指令,
2031,需要设置#变量,
2032,负号使用不正确,
2033,需要设置第二个循环语句,
2034,循环中不能使用结束类型的M指令，如M02/30/98/99,
2035,循环中不能换刀,
2036,换刀参数超出范围，偏置号或刀号超范围,
2037,刀长补偿值超范围,
2038,圆弧指令不能建立刀补,
2039,固定循环模态中不能切换平面,
2040,轴数小于3时不能切平面,
2041,有半径补偿时不可以切换坐标系,
2042,在圆弧插补中R与(I,J,K)全为零,
2043,圆弧终点不在圆上,
2044,螺纹指令的参数错误,
2045,变螺距螺纹切削过程中出现螺距小于0,
2046,螺纹导程超范围,
2047,螺纹长轴长度值错误,
2048,螺纹的J或K参数设置超出范围,
3000,运动用报警号,
3001,无效的进给轴号,
3002,无效的主轴轴号,
3003,无效的运行状态,
3004,NAN错误,
3005,下一个运动状态错误,
3006,起点和终点的距离大于直径,
3007,不允许改变运行方向,
3008,X轴软限正向报警,
3009,Z轴软限正向报警,
3010,Y轴软限正向报警,
3011,第4轴软限正向报警,
3012,第5轴软限正向报警,
3013,X轴软限负向报警,
3014,Z轴软限负向报警,
3015,Y轴软限负向报警,
3016,第4轴软限负向报警,
3017,第5轴软限负向报警,
3018,X轴硬限正向报警,
3019,Z轴硬限正向报警,
3020,Y轴硬限正向报警,
3021,第4轴硬限正向报警,
3022,第5轴硬限正向报警,
3023,X轴硬限负向报警,
3024,Z轴硬限负向报警,
3025,Y轴硬限负向报警,
3026,第4轴硬限负向报警,
3027,第5轴硬限负向报警,
3028,螺纹加工时，进给轴速度超过最大限制,
3029,主轴速度为零,
3030,螺纹计算无结果,
3031,主轴零点偏移过大,
3032,进给轴速度过大,
3033,主轴速度波动过大,
3034,无法给PLC发送MST信号,
3035,MST段不可以反向运行,
4000,PLC报警,
4001,PLC打开文件失败,
4002,PLC A报警,
4003,网络中存在不正确的垂直线,
4004,网络连接行数超出支持范围,
4005,水平导通线与节点网络并联,
4006,网络水平线未连上或短路,
4007,存在不必要的继电器或线圈,
4008,网络中存在非法的输出,
4009,继电器或者线圈的地址未设定,
4010,网络结构不完整,
4011,功能指令未正确连接,
4012,出现当前不支持的网络结构,
4013,功能指令输出不正确,
4014,功能指令名丢失,
4015,功能指令中缺少参数,
4016,PLC系统参数文件未载入,
4017,用户梯形图超出最大允许行数或者步数,
4018,输入存在非法字符或数据超出范围,
4019,CTR地址重复,
4020,TMR地址重复,
4021,功能指令JMP/LBL未正确处理或者超出容量,
4022,CALL/SP/SPE未正确使用,
4023,DIFU/DIFD未正确使用,
4024,同一输出地址在另一处被使用,
4025,功能指令END1或END2未正确使用,
4026,地址数据未正确输入,
4027,重新上传了梯图，请重启系统,
4028,梯图文件格式错误,
4029,修改了必须切断一次电源的参数,
4030,在编辑梯形图时断电导致在编辑的网络丢失,
4031,功能指令参数的地址或常数超出范围,
4032,用户数据区已满,
4033,功能指令JMP/LBL未正确处理或者超出容量,
4034,SFT指令超出最大允许使用数,
4035,功能指令COM/COME未正确使用,
4036,指令或网络不在可执行范围内,
4037,梯形图的第一级太大，不能及时执行完毕,
4038,梯图文件过小，或不是梯图文件,
5000,总线报警,
5001,看门狗错误,
5002,打开驱动节点文件失败,
5003,等待SLVRUN_WaitSensorOn超时,
5004,等待SLVRUN_ServoOff超时,
5005,等待MST_WaitDisconnect超时,
5006,等待MST_WaitConnect超时,
5007,等待MST_WaitClrAlm超时,
5008,等待MST_WaitEnterSync超时,
6000,GUI报警,
10000,伺服报警,
